country_code,continent,country_name
KAZ,Asia,Kazakhstan
KEN,Africa,Kenya
KGZ,Asia,Kyrgyzstan
KHM,Asia,Cambodia
KNA,North America,Saint Kitts and Nevis
KOR,Asia,South Korea
KWT,Asia,Kuwait
LAO,Asia,Laos
LBN,Asia,Lebanon
LBR,Africa,Liberia
LBY,Africa,Libya
LCA,North America,Saint Lucia
LIE,Europe,Liechtenstein
LKA,Asia,Sri Lanka
LSO,Africa,Lesotho
LTU,Europe,Lithuania
LUX,Europe,Luxembourg
LVA,Europe,Latvia
MAR,Africa,Morocco
MCO,Europe,Monaco
MDA,Europe,Moldova
MDG,Africa,Madagascar
MDV,Asia,Maldives
MEX,North America,Mexico
MKD,Europe,Macedonia
MLI,Africa,Mali
MLT,Europe,Malta
MMR,Asia,Myanmar
MNE,Europe,Montenegro
MNG,Asia,Mongolia
MNP,Oceania,Northern Mariana Islands
MOZ,Africa,Mozambique
MRT,Africa,Mauritania
MSR,North America,Montserrat
MUS,Africa,Mauritius
MWI,Africa,Malawi
MYS,Asia,Malaysia
NAM,Africa,Namibia
NCL,Oceania,New Caledonia
NER,Africa,Niger
NGA,Africa,Nigeria
NIC,North America,Nicaragua
NLD,Europe,Netherlands
NOR,Europe,Norway
NPL,Asia,Nepal
NZL,Oceania,New Zealand
OMN,Asia,Oman
PAK,Asia,Pakistan
PAN,North America,Panama
PER,South America,Peru
PHL,Asia,Philippines
PNG,Oceania,Papua New Guinea
POL,Europe,Poland
PRI,North America,Puerto Rico
PRT,Europe,Portugal
PRY,South America,Paraguay
PSE,Asia,Palestine
PYF,Oceania,French Polynesia
QAT,Asia,Qatar
ROU,Europe,Romania
RUS,Europe,Russia
RWA,Africa,Rwanda
SAU,Asia,Saudi Arabia
SDN,Africa,Sudan
SEN,Africa,Senegal
SGP,Asia,Singapore
SLE,Africa,Sierra Leone
SLV,North America,El Salvador
SMR,Europe,San Marino
SOM,Africa,Somalia
SRB,Europe,Serbia
SSD,Africa,South Sudan
STP,Africa,Sao Tome and Principe
SUR,South America,Suriname
SVK,Europe,Slovakia
SVN,Europe,Slovenia
SWE,Europe,Sweden
SWZ,Africa,Swaziland
SXM,North America,Sint Maarten (Dutch part)
SYC,Africa,Seychelles
SYR,Asia,Syria
TCA,North America,Turks and Caicos Islands
TCD,Africa,Chad
TGO,Africa,Togo
THA,Asia,Thailand
TJK,Asia,Tajikistan
TLS,Asia,Timor
TTO,North America,Trinidad and Tobago
TUN,Africa,Tunisia
TUR,Asia,Turkey
TWN,Asia,Taiwan
TZA,Africa,Tanzania
UGA,Africa,Uganda
UKR,Europe,Ukraine
URY,South America,Uruguay
USA,North America,United States
UZB,Asia,Uzbekistan
VAT,Europe,Vatican
VCT,North America,Saint Vincent and the Grenadines
VEN,South America,Venezuela
VGB,North America,British Virgin Islands
VIR,North America,United States Virgin Islands
VNM,Asia,Vietnam
OWID_KOS,Europe,Kosovo
YEM,Asia,Yemen
ZAF,Africa,South Africa
ZMB,Africa,Zambia
ZWE,Africa,Zimbabwe
OWID_WRL,,World
INT,,International
